model,mean_score,std_score
Ridge,0.22856710379292688,0.01585390759304234
Extra trees,0.29335144823854603,0.006795213961787065
K-nn,0.31546734485887473,0.009429645390561858
RegChain K-nn,0.3214665009127559,0.022617904125377557
MultiO/P AdaB,0.4167617163184443,0.02948015120861343
RandomForestRegressor,0.4315820294007389,0.027841658370078595
MultiO/P GBR,0.6162911669908571,0.03429860779879734
Decision Tree Regressor,0.7633470861356842,0.09735468267599401
Lasso,1.0126976592094088,0.05294568504963431
ElasticNet,1.0126976592094088,0.05294568504963431
